"Educational level","Age","Year","Fathers' age"
"Basic education or lower","30-34","2001",170
"Basic education or lower","30-34","2002",197
"Basic education or lower","30-34","2003",198
"Basic education or lower","30-34","2004",276
"Basic education or lower","30-34","2005",292
"Basic education or lower","30-34","2006",336
"Basic education or lower","30-34","2007",404
"Basic education or lower","30-34","2008",431
"Basic education or lower","30-34","2009",476
"Basic education or lower","30-34","2010",471
"Basic education or lower","30-34","2011",513
"Basic education or lower","30-34","2012",460
"Basic education or lower","30-34","2013",397
"Basic education or lower","30-34","2014",394
"Basic education or lower","30-34","2015",440
"Basic education or lower","30-34","2016",474
"Basic education or lower","30-34","2017",462
"Basic education or lower","30-34","2018",533
"Basic education or lower","30-34","2019",560
"Basic education or lower","30-34","2020",526
"Basic education or lower","30-34","2021",525
"Basic education or lower","30-34","2022",433
"Basic education or lower","30-34","2023",389
"Basic education or lower","30-34","2024",285
"Basic education or lower","35-39","1992",189
"Basic education or lower","35-39","1993",166
"Basic education or lower","35-39","1994",122
"Basic education or lower","35-39","1995",101
"Basic education or lower","35-39","1996",101
"Basic education or lower","35-39","1997",90
"Basic education or lower","35-39","1998",68
"Basic education or lower","35-39","1999",86
"Basic education or lower","35-39","2000",94
"Basic education or lower","35-39","2001",89
"Basic education or lower","35-39","2002",78
"Basic education or lower","35-39","2003",85
"Basic education or lower","35-39","2004",91
"Basic education or lower","35-39","2005",93
"Basic education or lower","35-39","2006",89
"Basic education or lower","35-39","2007",113
"Basic education or lower","35-39","2008",149
"Basic education or lower","35-39","2009",188
"Basic education or lower","35-39","2010",211
"Basic education or lower","35-39","2011",243
"Basic education or lower","35-39","2012",222
"Basic education or lower","35-39","2013",226
"Basic education or lower","35-39","2014",230
"Basic education or lower","35-39","2015",245
"Basic education or lower","35-39","2016",266
"Basic education or lower","35-39","2017",256
"Basic education or lower","35-39","2018",290
"Basic education or lower","35-39","2019",306
"Basic education or lower","35-39","2020",277
"Basic education or lower","35-39","2021",273
"Basic education or lower","35-39","2022",249
"Basic education or lower","35-39","2023",265
"Basic education or lower","35-39","2024",247
"Basic education or lower","40-44","1992",88
"Basic education or lower","40-44","1993",83
"Basic education or lower","40-44","1994",81
"Basic education or lower","40-44","1995",70
"Basic education or lower","40-44","1996",62
"Basic education or lower","40-44","1997",66
"Basic education or lower","40-44","1998",53
"Basic education or lower","40-44","1999",49
"Basic education or lower","40-44","2000",61
"Basic education or lower","40-44","2001",44
"Basic education or lower","40-44","2002",39
"Basic education or lower","40-44","2003",39
"Basic education or lower","40-44","2004",50
"Basic education or lower","40-44","2005",42
"Basic education or lower","40-44","2006",41
"Basic education or lower","40-44","2007",46
"Basic education or lower","40-44","2008",50
"Basic education or lower","40-44","2009",52
"Basic education or lower","40-44","2010",51
"Basic education or lower","40-44","2011",64
"Basic education or lower","40-44","2012",54
"Basic education or lower","40-44","2013",65
"Basic education or lower","40-44","2014",63
"Basic education or lower","40-44","2015",67
"Basic education or lower","40-44","2016",94
"Basic education or lower","40-44","2017",87
"Basic education or lower","40-44","2018",118
"Basic education or lower","40-44","2019",111
"Basic education or lower","40-44","2020",111
"Basic education or lower","40-44","2021",96
"Basic education or lower","40-44","2022",124
"Basic education or lower","40-44","2023",104
"Basic education or lower","40-44","2024",97
"Basic education or lower","45-49","1992",32
"Basic education or lower","45-49","1993",40
"Basic education or lower","45-49","1994",22
"Basic education or lower","45-49","1995",24
"Basic education or lower","45-49","1996",24
"Basic education or lower","45-49","1997",36
"Basic education or lower","45-49","1998",25
"Basic education or lower","45-49","1999",24
"Basic education or lower","45-49","2000",30
"Basic education or lower","45-49","2001",25
"Basic education or lower","45-49","2002",30
"Basic education or lower","45-49","2003",20
"Basic education or lower","45-49","2004",19
"Basic education or lower","45-49","2005",16
"Basic education or lower","45-49","2006",15
"Basic education or lower","45-49","2007",19
"Basic education or lower","45-49","2008",21
"Basic education or lower","45-49","2009",18
"Basic education or lower","45-49","2010",17
"Basic education or lower","45-49","2011",11
"Basic education or lower","45-49","2012",17
"Basic education or lower","45-49","2013",13
"Basic education or lower","45-49","2014",19
"Basic education or lower","45-49","2015",20
"Basic education or lower","45-49","2016",18
"Basic education or lower","45-49","2017",21
"Basic education or lower","45-49","2018",26
"Basic education or lower","45-49","2019",26
"Basic education or lower","45-49","2020",29
"Basic education or lower","45-49","2021",28
"Basic education or lower","45-49","2022",29
"Basic education or lower","45-49","2023",37
"Basic education or lower","45-49","2024",40
"Basic education or lower","50-54","1992",22
"Basic education or lower","50-54","1993",17
"Basic education or lower","50-54","1994",15
"Basic education or lower","50-54","1995",6
"Basic education or lower","50-54","1996",11
"Basic education or lower","50-54","1997",10
"Basic education or lower","50-54","1998",11
"Basic education or lower","50-54","1999",15
