"Educational level","Age","Year","Fathers' age"
"Vocational education","25-29","2000",1461
"Vocational education","25-29","2001",1337
"Vocational education","25-29","2002",1315
"Vocational education","25-29","2003",1202
"Vocational education","25-29","2004",1273
"Vocational education","25-29","2005",1226
"Vocational education","25-29","2006",1253
"Vocational education","25-29","2007",1320
"Vocational education","25-29","2008",1366
"Vocational education","25-29","2009",1287
"Vocational education","25-29","2010",1303
"Vocational education","25-29","2011",1166
"Vocational education","25-29","2012",1102
"Vocational education","25-29","2013",1072
"Vocational education","25-29","2014",1039
"Vocational education","25-29","2015",1097
"Vocational education","25-29","2016",1025
"Vocational education","25-29","2017",1041
"Vocational education","25-29","2018",1029
"Vocational education","25-29","2019",942
"Vocational education","25-29","2020",766
"Vocational education","25-29","2021",721
"Vocational education","25-29","2022",583
"Vocational education","25-29","2023",540
"Vocational education","25-29","2024",483
"Vocational education","30-34","1992",1085
"Vocational education","30-34","1993",900
"Vocational education","30-34","1994",872
"Vocational education","30-34","1995",881
"Vocational education","30-34","1996",914
"Vocational education","30-34","1997",870
"Vocational education","30-34","1998",890
"Vocational education","30-34","1999",950
"Vocational education","30-34","2000",1133
"Vocational education","30-34","2001",1066
"Vocational education","30-34","2002",1167
"Vocational education","30-34","2003",1275
"Vocational education","30-34","2004",1312
"Vocational education","30-34","2005",1347
"Vocational education","30-34","2006",1414
"Vocational education","30-34","2007",1407
"Vocational education","30-34","2008",1353
"Vocational education","30-34","2009",1278
"Vocational education","30-34","2010",1282
"Vocational education","30-34","2011",1180
"Vocational education","30-34","2012",1175
"Vocational education","30-34","2013",1120
"Vocational education","30-34","2014",1114
"Vocational education","30-34","2015",1185
"Vocational education","30-34","2016",1158
"Vocational education","30-34","2017",1163
"Vocational education","30-34","2018",1317
"Vocational education","30-34","2019",1203
"Vocational education","30-34","2020",1251
"Vocational education","30-34","2021",1201
"Vocational education","30-34","2022",1044
"Vocational education","30-34","2023",929
"Vocational education","30-34","2024",768
"Vocational education","35-39","1992",438
"Vocational education","35-39","1993",338
"Vocational education","35-39","1994",370
"Vocational education","35-39","1995",364
"Vocational education","35-39","1996",373
"Vocational education","35-39","1997",363
"Vocational education","35-39","1998",417
"Vocational education","35-39","1999",467
"Vocational education","35-39","2000",498
"Vocational education","35-39","2001",532
"Vocational education","35-39","2002",568
"Vocational education","35-39","2003",630
"Vocational education","35-39","2004",714
"Vocational education","35-39","2005",800
"Vocational education","35-39","2006",887
"Vocational education","35-39","2007",986
"Vocational education","35-39","2008",996
"Vocational education","35-39","2009",977
"Vocational education","35-39","2010",1023
"Vocational education","35-39","2011",963
"Vocational education","35-39","2012",869
"Vocational education","35-39","2013",812
"Vocational education","35-39","2014",786
"Vocational education","35-39","2015",794
"Vocational education","35-39","2016",779
"Vocational education","35-39","2017",779
"Vocational education","35-39","2018",906
"Vocational education","35-39","2019",896
"Vocational education","35-39","2020",831
"Vocational education","35-39","2021",846
"Vocational education","35-39","2022",716
"Vocational education","35-39","2023",663
"Vocational education","35-39","2024",628
"Vocational education","40-44","1992",161
"Vocational education","40-44","1993",141
"Vocational education","40-44","1994",117
"Vocational education","40-44","1995",134
"Vocational education","40-44","1996",125
"Vocational education","40-44","1997",150
"Vocational education","40-44","1998",142
"Vocational education","40-44","1999",165
"Vocational education","40-44","2000",188
"Vocational education","40-44","2001",198
"Vocational education","40-44","2002",210
"Vocational education","40-44","2003",239
"Vocational education","40-44","2004",265
"Vocational education","40-44","2005",312
"Vocational education","40-44","2006",338
"Vocational education","40-44","2007",394
"Vocational education","40-44","2008",422
"Vocational education","40-44","2009",418
"Vocational education","40-44","2010",476
"Vocational education","40-44","2011",476
"Vocational education","40-44","2012",456
"Vocational education","40-44","2013",463
"Vocational education","40-44","2014",404
"Vocational education","40-44","2015",442
"Vocational education","40-44","2016",454
"Vocational education","40-44","2017",401
"Vocational education","40-44","2018",416
"Vocational education","40-44","2019",396
"Vocational education","40-44","2020",375
"Vocational education","40-44","2021",433
"Vocational education","40-44","2022",366
"Vocational education","40-44","2023",340
"Vocational education","40-44","2024",274
"Vocational education","45-49","1992",48
"Vocational education","45-49","1993",34
"Vocational education","45-49","1994",41
"Vocational education","45-49","1995",37
"Vocational education","45-49","1996",49
"Vocational education","45-49","1997",49
"Vocational education","45-49","1998",52
"Vocational education","45-49","1999",54
"Vocational education","45-49","2000",66
"Vocational education","45-49","2001",50
"Vocational education","45-49","2002",78
"Vocational education","45-49","2003",61
"Vocational education","45-49","2004",88
"Vocational education","45-49","2005",97
"Vocational education","45-49","2006",119
"Vocational education","45-49","2007",150
"Vocational education","45-49","2008",135
"Vocational education","45-49","2009",122
"Vocational education","45-49","2010",132
"Vocational education","45-49","2011",142
"Vocational education","45-49","2012",130
"Vocational education","45-49","2013",131
"Vocational education","45-49","2014",136
"Vocational education","45-49","2015",171
"Vocational education","45-49","2016",149
"Vocational education","45-49","2017",187
"Vocational education","45-49","2018",182
"Vocational education","45-49","2019",155
"Vocational education","45-49","2020",148
"Vocational education","45-49","2021",170
"Vocational education","45-49","2022",116
"Vocational education","45-49","2023",126
"Vocational education","45-49","2024",99
"Vocational education","50-54","1992",18
"Vocational education","50-54","1993",17
"Vocational education","50-54","1994",10
"Vocational education","50-54","1995",7
"Vocational education","50-54","1996",7
"Vocational education","50-54","1997",14
"Vocational education","50-54","1998",20
"Vocational education","50-54","1999",18
"Vocational education","50-54","2000",18
"Vocational education","50-54","2001",21
"Vocational education","50-54","2002",25
"Vocational education","50-54","2003",15
"Vocational education","50-54","2004",18
"Vocational education","50-54","2005",26
"Vocational education","50-54","2006",33
"Vocational education","50-54","2007",28
"Vocational education","50-54","2008",40
"Vocational education","50-54","2009",36
"Vocational education","50-54","2010",22
"Vocational education","50-54","2011",43
"Vocational education","50-54","2012",44
"Vocational education","50-54","2013",38
"Vocational education","50-54","2014",50
"Vocational education","50-54","2015",39
"Vocational education","50-54","2016",33
"Vocational education","50-54","2017",39
"Vocational education","50-54","2018",41
"Vocational education","50-54","2019",56
"Vocational education","50-54","2020",44
"Vocational education","50-54","2021",42
"Vocational education","50-54","2022",48
"Vocational education","50-54","2023",34
"Vocational education","50-54","2024",32
"Vocational education","55-59","1992",1
"Vocational education","55-59","1993",4
"Vocational education","55-59","1994",5
"Vocational education","55-59","1995",7
"Vocational education","55-59","1996",2
"Vocational education","55-59","1997",2
"Vocational education","55-59","1998",6
"Vocational education","55-59","1999",5
"Vocational education","55-59","2000",3
"Vocational education","55-59","2001",1
"Vocational education","55-59","2002",3
"Vocational education","55-59","2003",10
"Vocational education","55-59","2004",13
"Vocational education","55-59","2005",7
"Vocational education","55-59","2006",7
"Vocational education","55-59","2007",14
"Vocational education","55-59","2008",7
"Vocational education","55-59","2009",7
"Vocational education","55-59","2010",8
"Vocational education","55-59","2011",7
"Vocational education","55-59","2012",15
"Vocational education","55-59","2013",6
"Vocational education","55-59","2014",9
"Vocational education","55-59","2015",14
"Vocational education","55-59","2016",11
"Vocational education","55-59","2017",14
"Vocational education","55-59","2018",11
"Vocational education","55-59","2019",16
"Vocational education","55-59","2020",13
"Vocational education","55-59","2021",14
"Vocational education","55-59","2022",10
"Vocational education","55-59","2023",15
"Vocational education","55-59","2024",13
"Vocational education","60-64","1992",1
"Vocational education","60-64","1993",2
"Vocational education","60-64","1994",1
"Vocational education","60-64","1995",2
"Vocational education","60-64","1996",1
"Vocational education","60-64","1997",3
"Vocational education","60-64","1998",0
"Vocational education","60-64","1999",2
"Vocational education","60-64","2000",3
"Vocational education","60-64","2001",1
"Vocational education","60-64","2002",1
"Vocational education","60-64","2003",2
"Vocational education","60-64","2004",0
"Vocational education","60-64","2005",3
"Vocational education","60-64","2006",1
"Vocational education","60-64","2007",2
"Vocational education","60-64","2008",1
"Vocational education","60-64","2009",2
"Vocational education","60-64","2010",0
"Vocational education","60-64","2011",2
"Vocational education","60-64","2012",4
"Vocational education","60-64","2013",0
"Vocational education","60-64","2014",2
"Vocational education","60-64","2015",3
"Vocational education","60-64","2016",6
"Vocational education","60-64","2017",1
"Vocational education","60-64","2018",3
"Vocational education","60-64","2019",4
"Vocational education","60-64","2020",2
"Vocational education","60-64","2021",2
"Vocational education","60-64","2022",3
"Vocational education","60-64","2023",8
"Vocational education","60-64","2024",2
"Vocational education","65+","1992",1
"Vocational education","65+","1993",1
"Vocational education","65+","1994",0
"Vocational education","65+","1995",0
"Vocational education","65+","1996",0
"Vocational education","65+","1997",0
"Vocational education","65+","1998",0
"Vocational education","65+","1999",0
"Vocational education","65+","2000",1
"Vocational education","65+","2001",0
"Vocational education","65+","2002",1
"Vocational education","65+","2003",0
"Vocational education","65+","2004",0
"Vocational education","65+","2005",1
"Vocational education","65+","2006",1
"Vocational education","65+","2007",0
"Vocational education","65+","2008",1
"Vocational education","65+","2009",2
"Vocational education","65+","2010",3
"Vocational education","65+","2011",0
"Vocational education","65+","2012",1
"Vocational education","65+","2013",1
"Vocational education","65+","2014",1
"Vocational education","65+","2015",0
"Vocational education","65+","2016",0
"Vocational education","65+","2017",0
"Vocational education","65+","2018",0
"Vocational education","65+","2019",0
"Vocational education","65+","2020",0
"Vocational education","65+","2021",1
"Vocational education","65+","2022",1
"Vocational education","65+","2023",1
"Vocational education","65+","2024",0
"Vocational education","Age unknown","1992",64
"Vocational education","Age unknown","1993",26
"Vocational education","Age unknown","1994",26
"Vocational education","Age unknown","1995",33
"Vocational education","Age unknown","1996",29
"Vocational education","Age unknown","1997",7
"Vocational education","Age unknown","1998",8
"Vocational education","Age unknown","1999",16
"Vocational education","Age unknown","2000",10
"Vocational education","Age unknown","2001",16
"Vocational education","Age unknown","2002",15
"Vocational education","Age unknown","2003",14
"Vocational education","Age unknown","2004",7
"Vocational education","Age unknown","2005",4
"Vocational education","Age unknown","2006",4
"Vocational education","Age unknown","2007",6
"Vocational education","Age unknown","2008",4
"Vocational education","Age unknown","2009",3
"Vocational education","Age unknown","2010",3
"Vocational education","Age unknown","2011",0
"Vocational education","Age unknown","2012",1
"Vocational education","Age unknown","2013",4
"Vocational education","Age unknown","2014",6
"Vocational education","Age unknown","2015",5
"Vocational education","Age unknown","2016",2
"Vocational education","Age unknown","2017",2
"Vocational education","Age unknown","2018",1
"Vocational education","Age unknown","2019",3
"Vocational education","Age unknown","2020",2
"Vocational education","Age unknown","2021",1
"Vocational education","Age unknown","2022",3
"Vocational education","Age unknown","2023",1
"Vocational education","Age unknown","2024",5
"Vocational education","Average age","1992",27.8
"Vocational education","Average age","1993",27.9
"Vocational education","Average age","1994",28.1
"Vocational education","Average age","1995",28.3
"Vocational education","Average age","1996",28.7
"Vocational education","Average age","1997",29.2
"Vocational education","Average age","1998",29.7
"Vocational education","Average age","1999",30.1
"Vocational education","Average age","2000",30.4
"Vocational education","Average age","2001",30.6
"Vocational education","Average age","2002",31.0
"Vocational education","Average age","2003",31.2
"Vocational education","Average age","2004",31.4
"Vocational education","Average age","2005",31.7
"Vocational education","Average age","2006",32.0
"Vocational education","Average age","2007",32.3
"Vocational education","Average age","2008",32.4
"Vocational education","Average age","2009",32.5
"Vocational education","Average age","2010",32.7
"Vocational education","Average age","2011",33.1
"Vocational education","Average age","2012",33.1
"Vocational education","Average age","2013",33.1
"Vocational education","Average age","2014",33.1
"Vocational education","Average age","2015",33.2
"Vocational education","Average age","2016",33.4
"Vocational education","Average age","2017",33.6
"Vocational education","Average age","2018",33.7
"Vocational education","Average age","2019",33.9
"Vocational education","Average age","2020",34.1
"Vocational education","Average age","2021",34.4
"Vocational education","Average age","2022",34.3
"Vocational education","Average age","2023",34.6
"Vocational education","Average age","2024",34.4
"Higher education","All age groups","1992",2206
"Higher education","All age groups","1993",1765
"Higher education","All age groups","1994",1721
"Higher education","All age groups","1995",1638
"Higher education","All age groups","1996",1668
"Higher education","All age groups","1997",1678
"Higher education","All age groups","1998",1692
"Higher education","All age groups","1999",1766
"Higher education","All age groups","2000",1935
"Higher education","All age groups","2001",1986
"Higher education","All age groups","2002",2124
"Higher education","All age groups","2003",2345
"Higher education","All age groups","2004",2757
"Higher education","All age groups","2005",3044
"Higher education","All age groups","2006",3225
"Higher education","All age groups","2007",3625
"Higher education","All age groups","2008",3877
"Higher education","All age groups","2009",4031
"Higher education","All age groups","2010",4248
"Higher education","All age groups","2011",3992
"Higher education","All age groups","2012",3916
"Higher education","All age groups","2013",3953
"Higher education","All age groups","2014",4037
"Higher education","All age groups","2015",4213
"Higher education","All age groups","2016",4318
"Higher education","All age groups","2017",4332
"Higher education","All age groups","2018",4393
"Higher education","All age groups","2019",4604
"Higher education","All age groups","2020",4335
"Higher education","All age groups","2021",4576
"Higher education","All age groups","2022",3943
"Higher education","All age groups","2023",3662
"Higher education","All age groups","2024",3412
"Higher education","10-14","1992",0
"Higher education","10-14","1993",0
"Higher education","10-14","1994",0
"Higher education","10-14","1995",0
"Higher education","10-14","1996",0
"Higher education","10-14","1997",0
"Higher education","10-14","1998",0
"Higher education","10-14","1999",0
"Higher education","10-14","2000",0
"Higher education","10-14","2001",0
"Higher education","10-14","2002",0
"Higher education","10-14","2003",0
"Higher education","10-14","2004",0
"Higher education","10-14","2005",0
"Higher education","10-14","2006",0
"Higher education","10-14","2007",0
"Higher education","10-14","2008",0
"Higher education","10-14","2009",0
"Higher education","10-14","2010",0
"Higher education","10-14","2011",0
"Higher education","10-14","2012",0
"Higher education","10-14","2013",0
"Higher education","10-14","2014",0
"Higher education","10-14","2015",0
"Higher education","10-14","2016",0
"Higher education","10-14","2017",0
"Higher education","10-14","2018",0
"Higher education","10-14","2019",0
"Higher education","10-14","2020",0
"Higher education","10-14","2021",0
"Higher education","10-14","2022",0
"Higher education","10-14","2023",0
"Higher education","10-14","2024",0
"Higher education","15-19","1992",4
"Higher education","15-19","1993",0
"Higher education","15-19","1994",0
"Higher education","15-19","1995",1
"Higher education","15-19","1996",0
"Higher education","15-19","1997",0
"Higher education","15-19","1998",0
"Higher education","15-19","1999",0
"Higher education","15-19","2000",0
"Higher education","15-19","2001",0
"Higher education","15-19","2002",0
"Higher education","15-19","2003",0
"Higher education","15-19","2004",0
"Higher education","15-19","2005",0
"Higher education","15-19","2006",0
"Higher education","15-19","2007",0
"Higher education","15-19","2008",0
"Higher education","15-19","2009",0
"Higher education","15-19","2010",0
"Higher education","15-19","2011",0
"Higher education","15-19","2012",0
"Higher education","15-19","2013",0
"Higher education","15-19","2014",1
"Higher education","15-19","2015",0
"Higher education","15-19","2016",0
"Higher education","15-19","2017",0
"Higher education","15-19","2018",0
"Higher education","15-19","2019",0
"Higher education","15-19","2020",0
"Higher education","15-19","2021",0
"Higher education","15-19","2022",0
"Higher education","15-19","2023",0
"Higher education","15-19","2024",0
"Higher education","20-24","1992",225
"Higher education","20-24","1993",187
"Higher education","20-24","1994",220
"Higher education","20-24","1995",174
"Higher education","20-24","1996",137
"Higher education","20-24","1997",140
"Higher education","20-24","1998",107
"Higher education","20-24","1999",125
"Higher education","20-24","2000",106
"Higher education","20-24","2001",96
"Higher education","20-24","2002",90
"Higher education","20-24","2003",107
"Higher education","20-24","2004",135
"Higher education","20-24","2005",127
"Higher education","20-24","2006",140
"Higher education","20-24","2007",145
"Higher education","20-24","2008",135
"Higher education","20-24","2009",130
"Higher education","20-24","2010",99
"Higher education","20-24","2011",78
"Higher education","20-24","2012",58
"Higher education","20-24","2013",74
"Higher education","20-24","2014",58
"Higher education","20-24","2015",58
"Higher education","20-24","2016",54
"Higher education","20-24","2017",55
"Higher education","20-24","2018",38
"Higher education","20-24","2019",42
"Higher education","20-24","2020",32
"Higher education","20-24","2021",34
"Higher education","20-24","2022",33
"Higher education","20-24","2023",35
"Higher education","20-24","2024",33
"Higher education","25-29","1992",836
"Higher education","25-29","1993",652
"Higher education","25-29","1994",590
"Higher education","25-29","1995",564
"Higher education","25-29","1996",585
"Higher education","25-29","1997",546
"Higher education","25-29","1998",552
"Higher education","25-29","1999",565
"Higher education","25-29","2000",645
"Higher education","25-29","2001",597
"Higher education","25-29","2002",657
"Higher education","25-29","2003",697
"Higher education","25-29","2004",816
"Higher education","25-29","2005",958
"Higher education","25-29","2006",975
"Higher education","25-29","2007",1050
"Higher education","25-29","2008",1078
"Higher education","25-29","2009",1155
"Higher education","25-29","2010",1130
"Higher education","25-29","2011",969
"Higher education","25-29","2012",912
"Higher education","25-29","2013",875
"Higher education","25-29","2014",913
"Higher education","25-29","2015",844
"Higher education","25-29","2016",892
"Higher education","25-29","2017",858
"Higher education","25-29","2018",766
"Higher education","25-29","2019",838
"Higher education","25-29","2020",661
"Higher education","25-29","2021",647
"Higher education","25-29","2022",547
"Higher education","25-29","2023",505
"Higher education","25-29","2024",455
"Higher education","30-34","1992",608
"Higher education","30-34","1993",499
"Higher education","30-34","1994",502
"Higher education","30-34","1995",472
"Higher education","30-34","1996",463
"Higher education","30-34","1997",472
"Higher education","30-34","1998",496
"Higher education","30-34","1999",510
"Higher education","30-34","2000",544
"Higher education","30-34","2001",617
"Higher education","30-34","2002",681
"Higher education","30-34","2003",736
"Higher education","30-34","2004",914
"Higher education","30-34","2005",934
"Higher education","30-34","2006",1034
"Higher education","30-34","2007",1174
"Higher education","30-34","2008",1294
"Higher education","30-34","2009",1362
"Higher education","30-34","2010",1477
"Higher education","30-34","2011",1383
"Higher education","30-34","2012",1357
"Higher education","30-34","2013",1381
"Higher education","30-34","2014",1458
"Higher education","30-34","2015",1543
"Higher education","30-34","2016",1566
"Higher education","30-34","2017",1526
"Higher education","30-34","2018",1603
"Higher education","30-34","2019",1692
"Higher education","30-34","2020",1589
"Higher education","30-34","2021",1693
"Higher education","30-34","2022",1452
"Higher education","30-34","2023",1308
"Higher education","30-34","2024",1181
"Higher education","35-39","1992",292
"Higher education","35-39","1993",226
"Higher education","35-39","1994",229
"Higher education","35-39","1995",247
"Higher education","35-39","1996",263
"Higher education","35-39","1997",296
"Higher education","35-39","1998",301
"Higher education","35-39","1999",322
"Higher education","35-39","2000",373
"Higher education","35-39","2001",378
"Higher education","35-39","2002",363
"Higher education","35-39","2003",419
"Higher education","35-39","2004",505
"Higher education","35-39","2005",591
"Higher education","35-39","2006",617
"Higher education","35-39","2007",710
"Higher education","35-39","2008",801
"Higher education","35-39","2009",839
"Higher education","35-39","2010",905
"Higher education","35-39","2011",905
"Higher education","35-39","2012",929
"Higher education","35-39","2013",1013
"Higher education","35-39","2014",931
"Higher education","35-39","2015",1012
"Higher education","35-39","2016",1067
"Higher education","35-39","2017",1073
"Higher education","35-39","2018",1151
"Higher education","35-39","2019",1198
"Higher education","35-39","2020",1191
"Higher education","35-39","2021",1348
"Higher education","35-39","2022",1131
"Higher education","35-39","2023",1052
"Higher education","35-39","2024",1052
"Higher education","40-44","1992",144
"Higher education","40-44","1993",117
"Higher education","40-44","1994",98
"Higher education","40-44","1995",92
"Higher education","40-44","1996",125
"Higher education","40-44","1997",113
"Higher education","40-44","1998",142
"Higher education","40-44","1999",148
"Higher education","40-44","2000",142
"Higher education","40-44","2001",178
"Higher education","40-44","2002",204
"Higher education","40-44","2003",218
"Higher education","40-44","2004",244
"Higher education","40-44","2005",254
"Higher education","40-44","2006",276
"Higher education","40-44","2007",354
"Higher education","40-44","2008",351
"Higher education","40-44","2009",334
"Higher education","40-44","2010",393
"Higher education","40-44","2011",415
"Higher education","40-44","2012",406
"Higher education","40-44","2013",390
"Higher education","40-44","2014",448
"Higher education","40-44","2015",489
"Higher education","40-44","2016",502
"Higher education","40-44","2017",514
"Higher education","40-44","2018",562
"Higher education","40-44","2019",540
"Higher education","40-44","2020",549
"Higher education","40-44","2021",565
"Higher education","40-44","2022",509
"Higher education","40-44","2023",491
"Higher education","40-44","2024",476
"Higher education","45-49","1992",49
"Higher education","45-49","1993",47
"Higher education","45-49","1994",37
"Higher education","45-49","1995",49
"Higher education","45-49","1996",59
"Higher education","45-49","1997",62
"Higher education","45-49","1998",50
"Higher education","45-49","1999",50
"Higher education","45-49","2000",65
"Higher education","45-49","2001",72
"Higher education","45-49","2002",76
"Higher education","45-49","2003",87
"Higher education","45-49","2004",88
"Higher education","45-49","2005",105
"Higher education","45-49","2006",116
"Higher education","45-49","2007",125
"Higher education","45-49","2008",145
"Higher education","45-49","2009",136
"Higher education","45-49","2010",174
"Higher education","45-49","2011",145
"Higher education","45-49","2012",165
"Higher education","45-49","2013",147
"Higher education","45-49","2014",147
"Higher education","45-49","2015",167
"Higher education","45-49","2016",152
"Higher education","45-49","2017",195
"Higher education","45-49","2018",182
"Higher education","45-49","2019",199
"Higher education","45-49","2020",202
"Higher education","45-49","2021",186
"Higher education","45-49","2022",175
"Higher education","45-49","2023",196
"Higher education","45-49","2024",146
"Higher education","50-54","1992",19
"Higher education","50-54","1993",19
"Higher education","50-54","1994",24
"Higher education","50-54","1995",19
"Higher education","50-54","1996",17
"Higher education","50-54","1997",33
"Higher education","50-54","1998",28
"Higher education","50-54","1999",31
"Higher education","50-54","2000",37
"Higher education","50-54","2001",27
"Higher education","50-54","2002",28
"Higher education","50-54","2003",41
"Higher education","50-54","2004",18
"Higher education","50-54","2005",47
"Higher education","50-54","2006",43
"Higher education","50-54","2007",42
"Higher education","50-54","2008",47
"Higher education","50-54","2009",52
"Higher education","50-54","2010",37
"Higher education","50-54","2011",66
"Higher education","50-54","2012",60
"Higher education","50-54","2013",48
"Higher education","50-54","2014",51
"Higher education","50-54","2015",68
"Higher education","50-54","2016",52
"Higher education","50-54","2017",65
"Higher education","50-54","2018",61
"Higher education","50-54","2019",57
"Higher education","50-54","2020",60
"Higher education","50-54","2021",66
"Higher education","50-54","2022",56
"Higher education","50-54","2023",47
"Higher education","50-54","2024",45
"Higher education","55-59","1992",7
"Higher education","55-59","1993",6
"Higher education","55-59","1994",6
"Higher education","55-59","1995",5
"Higher education","55-59","1996",3
"Higher education","55-59","1997",8
"Higher education","55-59","1998",8
"Higher education","55-59","1999",7
"Higher education","55-59","2000",11
"Higher education","55-59","2001",6
"Higher education","55-59","2002",10
"Higher education","55-59","2003",19
"Higher education","55-59","2004",19
"Higher education","55-59","2005",15
"Higher education","55-59","2006",14
"Higher education","55-59","2007",15
"Higher education","55-59","2008",13
"Higher education","55-59","2009",16
"Higher education","55-59","2010",19
"Higher education","55-59","2011",21
"Higher education","55-59","2012",17
"Higher education","55-59","2013",12
"Higher education","55-59","2014",17
"Higher education","55-59","2015",20
"Higher education","55-59","2016",23
"Higher education","55-59","2017",29
"Higher education","55-59","2018",16
"Higher education","55-59","2019",25
"Higher education","55-59","2020",29
"Higher education","55-59","2021",21
"Higher education","55-59","2022",22
"Higher education","55-59","2023",20
"Higher education","55-59","2024",14
"Higher education","60-64","1992",3
"Higher education","60-64","1993",1
"Higher education","60-64","1994",2
"Higher education","60-64","1995",2
"Higher education","60-64","1996",3
"Higher education","60-64","1997",3
"Higher education","60-64","1998",3
"Higher education","60-64","1999",2
"Higher education","60-64","2000",2
"Higher education","60-64","2001",4
"Higher education","60-64","2002",2
"Higher education","60-64","2003",10
"Higher education","60-64","2004",8
"Higher education","60-64","2005",4
"Higher education","60-64","2006",6
"Higher education","60-64","2007",3
"Higher education","60-64","2008",9
"Higher education","60-64","2009",3
"Higher education","60-64","2010",11
"Higher education","60-64","2011",4
"Higher education","60-64","2012",6
"Higher education","60-64","2013",4
"Higher education","60-64","2014",4
"Higher education","60-64","2015",2
"Higher education","60-64","2016",1
"Higher education","60-64","2017",6
"Higher education","60-64","2018",6
"Higher education","60-64","2019",5
"Higher education","60-64","2020",4
"Higher education","60-64","2021",9
"Higher education","60-64","2022",10
"Higher education","60-64","2023",3
"Higher education","60-64","2024",5
"Higher education","65+","1992",0
"Higher education","65+","1993",0
"Higher education","65+","1994",0
"Higher education","65+","1995",0
"Higher education","65+","1996",1
"Higher education","65+","1997",0
"Higher education","65+","1998",0
"Higher education","65+","1999",0
"Higher education","65+","2000",1
"Higher education","65+","2001",1
"Higher education","65+","2002",0
"Higher education","65+","2003",0
"Higher education","65+","2004",4
"Higher education","65+","2005",4
"Higher education","65+","2006",3
"Higher education","65+","2007",2
"Higher education","65+","2008",2
"Higher education","65+","2009",3
"Higher education","65+","2010",0
"Higher education","65+","2011",2
"Higher education","65+","2012",2
"Higher education","65+","2013",3
"Higher education","65+","2014",2
"Higher education","65+","2015",1
"Higher education","65+","2016",5
"Higher education","65+","2017",4
"Higher education","65+","2018",2
"Higher education","65+","2019",1
"Higher education","65+","2020",3
"Higher education","65+","2021",3
"Higher education","65+","2022",1
"Higher education","65+","2023",3
"Higher education","65+","2024",1
"Higher education","Age unknown","1992",19
"Higher education","Age unknown","1993",11
"Higher education","Age unknown","1994",13
"Higher education","Age unknown","1995",13
"Higher education","Age unknown","1996",12
"Higher education","Age unknown","1997",5
"Higher education","Age unknown","1998",5
"Higher education","Age unknown","1999",6
"Higher education","Age unknown","2000",9
"Higher education","Age unknown","2001",10
"Higher education","Age unknown","2002",13
"Higher education","Age unknown","2003",11
"Higher education","Age unknown","2004",6
"Higher education","Age unknown","2005",5
"Higher education","Age unknown","2006",1
"Higher education","Age unknown","2007",5
"Higher education","Age unknown","2008",2
"Higher education","Age unknown","2009",1
"Higher education","Age unknown","2010",3
"Higher education","Age unknown","2011",4
"Higher education","Age unknown","2012",4
"Higher education","Age unknown","2013",6
"Higher education","Age unknown","2014",7
"Higher education","Age unknown","2015",9
"Higher education","Age unknown","2016",4
"Higher education","Age unknown","2017",7
"Higher education","Age unknown","2018",6
"Higher education","Age unknown","2019",7
"Higher education","Age unknown","2020",15
"Higher education","Age unknown","2021",4
"Higher education","Age unknown","2022",7
"Higher education","Age unknown","2023",2
"Higher education","Age unknown","2024",4
"Higher education","Average age","1992",31.5
"Higher education","Average age","1993",31.7
"Higher education","Average age","1994",31.5
"Higher education","Average age","1995",31.8
"Higher education","Average age","1996",32.3
"Higher education","Average age","1997",32.7
"Higher education","Average age","1998",32.9
"Higher education","Average age","1999",32.8
"Higher education","Average age","2000",33.1
"Higher education","Average age","2001",33.3
"Higher education","Average age","2002",33.3
"Higher education","Average age","2003",33.6
"Higher education","Average age","2004",33.2
"Higher education","Average age","2005",33.3
"Higher education","Average age","2006",33.3
"Higher education","Average age","2007",33.5
"Higher education","Average age","2008",33.7
"Higher education","Average age","2009",33.6
"Higher education","Average age","2010",33.9
"Higher education","Average age","2011",34.3
"Higher education","Average age","2012",34.5
"Higher education","Average age","2013",34.4
"Higher education","Average age","2014",34.4
"Higher education","Average age","2015",34.8
"Higher education","Average age","2016",34.7
"Higher education","Average age","2017",35.0
"Higher education","Average age","2018",35.2
"Higher education","Average age","2019",35.1
"Higher education","Average age","2020",35.5
"Higher education","Average age","2021",35.5
"Higher education","Average age","2022",35.6
"Higher education","Average age","2023",35.7
"Higher education","Average age","2024",35.8
"Educational level unknown","All age groups","1992",615
"Educational level unknown","All age groups","1993",672
"Educational level unknown","All age groups","1994",604
"Educational level unknown","All age groups","1995",649
"Educational level unknown","All age groups","1996",763
"Educational level unknown","All age groups","1997",838
"Educational level unknown","All age groups","1998",882
"Educational level unknown","All age groups","1999",924
"Educational level unknown","All age groups","2000",1099
"Educational level unknown","All age groups","2001",1062
"Educational level unknown","All age groups","2002",1065
"Educational level unknown","All age groups","2003",1145
"Educational level unknown","All age groups","2004",890
"Educational level unknown","All age groups","2005",929
"Educational level unknown","All age groups","2006",773
"Educational level unknown","All age groups","2007",707
"Educational level unknown","All age groups","2008",689
"Educational level unknown","All age groups","2009",618
"Educational level unknown","All age groups","2010",548
"Educational level unknown","All age groups","2011",550
"Educational level unknown","All age groups","2012",454
"Educational level unknown","All age groups","2013",474
"Educational level unknown","All age groups","2014",427
"Educational level unknown","All age groups","2015",387
"Educational level unknown","All age groups","2016",373
"Educational level unknown","All age groups","2017",354
"Educational level unknown","All age groups","2018",322
